ISCO0804,ISCO0804title,software,robots,AI
1111,Legislators ,16353,5272,1260
1112,Senior government officials ,35915,8047,2468
1113,Traditional chiefs and heads of villages ,5911,2764,549
1114,Senior officials of special-interest organizations ,12932,3193,1145
1120,Managing directors and chief executives ,42198,12136,3638
1211,Finance managers ,33144,8181,3399
1212,Human resource managers ,223895,108089,25841
1213,Policy and planning managers ,34793,7559,4717
1219,Business services and administration managers not elsewhere classified ,89176,23430,10407
1221,Sales and marketing managers ,53160,10996,4645
1222,Advertising and public relations managers ,95334,17104,12051
1223,Research and development managers ,156251,86330,23819
1311,Agricultural and forestry production managers ,72828,48311,12930
1312,Aquaculture and fisheries production managers ,195093,132684,50746
1321,Manufacturing managers ,238622,172608,42440
1322,Mining managers ,122863,105347,21159
1323,Construction managers ,41935,32130,5825
1324,"Supply, distribution and related managers ",252165,148583,31687
1330,Information and communications technology services managers ,371782,140073,58611
1341,Child care services managers ,46502,29584,7376
1342,Health services managers ,69669,40018,7671
1343,Aged care services managers ,71884,33865,7755
1344,Social welfare managers ,77312,29636,8767
1345,Education managers ,178488,46794,22608
1346,Financial and insurance services branch managers ,27040,8583,3776
1349,Professional services managers not elsewhere classified ,186265,97213,18383
1411,Hotel managers ,12565,7607,1112
1412,Restaurant managers ,44171,38230,8354
1420,Retail and wholesale trade managers ,38916,19757,3777
1431,"Sports, recreation and cultural centre managers ",12633,8532,1490
2111,Physicists and astronomers ,337828,284258,79396
2112,Meteorologists ,153879,129343,52471
2113,Chemists ,145529,141466,34713
2114,Geologists and geophysicists ,226519,289538,79249
2120,"Mathematicians, actuaries and statisticians ",128204,41209,38465
2131,"Biologists, botanists, zoologists and related professionals ",261817,162828,87388
2132,"Farming, forestry and fisheries advisers ",118006,83456,52420
2133,Environmental protection professionals ,118141,111957,27396
2141,Industrial and production engineers ,282513,229831,54654
2142,Civil engineers ,243832,297756,77509
2143,Environmental engineers ,122819,126833,28455
2144,Mechanical engineers ,256809,401410,52620
2145,Chemical engineers ,369690,285101,75898
2146,"Mining engineers, metallurgists and related professionals ",99396,128266,32988
2149,Engineering professionals not elsewhere classified ,427783,537696,119141
2151,Electrical engineers ,295503,363018,44505
2152,Electronics engineers ,575749,470851,103846
2153,Telecommunications engineers ,367257,110896,66572
2161,Building architects ,88165,49551,18697
2162,Landscape architects ,57586,32484,15327
2163,Product and garment designers ,131770,29575,24029
2164,Town and traffic planners ,63753,30620,15198
2165,Cartographers and surveyors ,423688,361878,118065
2166,Graphic and multimedia designers ,373989,106423,89846
2211,Generalist medical practitioners ,88800,58812,19976
2212,Specialist medical practitioners ,133173,83307,32822
2221,Nursing professionals ,95412,65264,41155
2222,Midwifery professionals ,28965,27096,10724
2230,Traditional and complementary medicine professionals ,137276,78152,36924
2240,Paramedical practitioners ,125595,84270,24209
2250,Veterinarians ,214707,176359,70871
2261,Dentists ,179353,219908,44871
2262,Pharmacists ,124208,75398,25271
2263,Environmental and occupational health and hygiene professionals ,100347,105526,27047
2264,Physiotherapists ,349102,324663,80909
2265,Dieticians and nutritionists ,64712,39208,20970
2266,Audiologists and speech therapists ,459449,234990,93789
2267,Optometrists and ophthalmic opticians ,300928,260190,74905
2269,Health professionals not elsewhere classified ,133162,131820,33458
2310,University and higher education teachers ,60016,28218,10916
2320,Vocational education teachers ,216107,129189,57993
2330,Secondary education teachers ,80375,27632,17086
